id,name
30612,Polygram Filmed Entertainment
57311,Working Title Films
48273,EuropaCorp
69340,M6 Films
240248,Grive Productions
174373,Dune Entertainment
28557,Canal+
37417,M6
346444,Ciné+
221580,Karma Film Prod
787629,Taken 2
23400,Paramount Pictures
102273,Eddie Murphy Productions
98836,Walt Disney Productions
197272,Film4
104859,Warp Films
24845,Wild Bunch
106149,Optimum Releasing
112971,Endgame Entertainment
506124,Vendian Entertainment
513383,KrautPack Entertainment
50868,Columbia Pictures
30084,Hofflund/Polone
12600,Global Entertainment Productions GmbH & Company Medien KG
11800,Permut Presentations
49348,Touchstone Pictures
20967,Douglas/Reuther Productions
41998,WCG Entertainment Productions
3224,Belladonna Productions
260274,Memento Films International
429818,Paradise City
313110,The Zoo
262387,Uncorked Productions
402483,Venture Forth
655598,We Are What We Are
285648,Cross Creek Pictures
19626,Dimension Films
196801,PS 260
319489,Vertebra Films
208237,Zed Filmworks
2663,Warner Bros.
366362,Electric City Entertainment
41001,Hurwitz Creative
449458,RatPac-Dune Entertainment
86332,Zero Gravity Management
190856,Relative Noise
275347,Aliquot Films
190929,Deerjen Films
274645,Furnace
39462,Public Broadcasting Service
74280,Oregon Public Broadcasting
75999,John Gau Productions
592426,BBC Studios
142268,William Castle Productions
38591,August Films
38657,Film Funding Ltd. of Canada
51074,Canadian Film Development Corporation
695373,Famous Players
4750,Vision IV
14380,Dino De Laurentiis Company
5073,Universal Pictures
10258,Malpaso Productions
5596,2929 Productions
142476,Adelstein-Parouse Productions
1857,Hard Eight Pictures
223495,Hoban Segal Productions
151527,Victor Solnicki Productions
62469,Movie Central Network
139728,Corus
26937,Province of British Columbia Production Services Tax Credit
28055,Copperheart Entertainment
92623,Milestone Entertainment
46718,New Line Cinema
108859,Sean S. Cunningham Films
71240,Platinum Dunes
98315,Blumhouse Productions
504433,Allspark Pictures
169264,Dentsu
55529,Fuji Television Network
130376,Hasbro
59753,Intrepid Pictures
102264,The Malpaso Company
68181,Palla
126028,Vestron Pictures
776621,HB Filmrullen
47977,Contemporary Films
658318,Electric Pictures
136689,Laurel Group
607988,Dawn Associates
142678,Relativity Media
251858,FilmNation Entertainment
247116,A Bigger Boat
682093,Dino De Laurentiis
670561,Landers-Roberts Productions
402600,Space Rocket Nation
135575,Bold Films
4166,MEDIA Programme of the European Union
404626,Danish Film Institute
35146,Danmarks Radio (DR)
45447,Turner Pictures (I)
49706,Alphaville Films
317320,Softbank Ventures
188167,Showbox/Mediaplex
321429,Peppermint & Company
20493,Siz Entertainment
119044,Crowvision Inc.
32245,Entertainment Media Investment Corporation
176154,Image Comics
31659,Jeff Most Productions
22594,Miramax
6728,Pressman Film
28247,Avery Pix
67362,Crystal Lake Entertainment
6287,WTC Productions
4434,Yannix Technology Corporation
46206,Summit Entertainment
317576,Demarest Films
52383,Pandemonium
598281,Argent Pictures
337632,Bliss Media
208137,IM Global
465607,AI-Film
2521,Creative Artists Agency
484538,Kylin Pictures
73417,Icon Productions
234956,Screen Australia
286594,Screen NSW
159111,Legendary Entertainment
526406,Syon Media
54778,Artists Entertainment Complex
1584,Produzioni De Laurentiis International Manufacturing Company
56665,Midwinter Productions Inc.
5891,Trancas International Films
252506,GO2SHO
35761,Gracie Films
99734,Huayi Brothers Media
33486,Robert Simonds Productions
249694,STX Entertainment
59493,Georgetown Productions Inc.
46277,De Laurentiis Entertainment Group
21078,Lion Films
103685,Polygram Pictures
765197,Lyncanthrope Films
765198,American Werewolf
390816,A24
641956,PASTEL
136967,Plan B Entertainment
420822,TSG Entertainment
501651,Meñakoz Films
90290,Centre national du cinéma et de l'image animée (CNC)
604062,Taken 3
756,Twentieth Century Fox
296971,Lava Bear Films
158853,21 Laps Entertainment
616808,Xenolinguistics
159596,Proton Cinema
133296,Pola Pandora Filmproduktions
86612,Filmpartners
45825,The Chimney Pot
56024,Eurimages
1935,Film i Väst
665692,German Films
690819,Hungarian Film Incentives
475594,Hungarian National Film Fund
130575,Medienboard Berlin-Brandenburg
48118,Svenska Filminstitutet
285154,VisionTeam
174795,ZDF/Arte
103694,BBC Films
227229,"Belle Allee Productions, La"
132355,La Belle Allee
79694,NWR Film Productions
18704,Nimbus Film Productions
223259,One Eye Production
136039,Savalas Audio Post-Production
611595,Man in A Tree
333174,H2O Motion Pictures
333129,2262730 Ontario
508816,Eggplant Picture & Sound
169766,Middle Child Films Inc.
253942,Quickfire Films
70636,3 Arts Entertainment
49752,Bay Films
88656,Dune Films
181591,Latina Pictures
303030,Highland Film Group (HFG)
482754,Hassell Free Production
209925,Ingenious Media
481625,Saban Films
373555,The Electric Shadow Company
270629,Prettybird
518238,Saeculum Productions
491058,Movie Trailer House
316867,Route One Entertainment
235528,Bluegrass Films
18471,Larger Than Life Productions
179825,The Safran Company
504531,Atomic Monster
179990,Evergreen Media Group
819670,Dreamworks Pictures
17497,Fox 2000 Pictures
336601,Reliance Entertainment
132772,Participant
9119,Amblin Entertainment
93810,Marc Platt Productions
53177,Studio Babelsberg
173285,Lionsgate
49689,Why Not Productions
5323,Lakeshore Entertainment
84207,Vertigo Entertainment
19968,Silver Pictures
353060,Waypoint Entertainment
355965,Bloom
87854,Lipsync Productions
572995,Misty Mountains
152564,A&E IndieFilms
301328,Motto Pictures
318641,Roger Ross Williams Productions
222800,Paper Street Films
143583,Back Lot Pictures
517964,KGB Media
57460,David Kirschner Productions
20377,American Entertainment
18947,Cinerenta Medienbeteiligungs KG
1006,Cinedelta
319513,Black Bear Pictures
457197,Bristol Automotive
544767,Orange Corp
150452,The Weinstein Company
632400,Hishow Entertainment
363633,West London Films
314851,FilmDistrict
113140,MWM Studios
360145,Motel Movies
356542,Drive Film Holdings
758832,Oddlot Entertainment
70108,Red Dragon Productions S.A.
172053,Gaumont
581722,DR/Flimklubben
212003,Nordisk Film ShortCut
113606,Nordisk Film- & TV-Fond
23617,Filmkameratene A/S
234299,Film Fund FUZZ
2093,SF Norge A/S
9436,Norsk Filminstitutt
382705,Sogn og Fjordane Fylkeskommune
244225,Cinet
281599,Pomor Film
13255,Love Streams Productions
247083,Agnès b. Productions
293292,Davaj Film
278851,FilmCamp
14706,Filmpool Nord
238491,Kinology
13526,Yleisradio (YLE)
119038,Gordon Company
479739,LStar Capital
259281,Scott Free Productions
562694,The Cantillon Company
86328,The Shuman Company
108864,Village Roadshow Pictures
732581,First Look Media
17525,Anonymous Content
299281,Rocklin/Faust
178575,Open Road Films
51618,Entertainment One
478896,Topic Studios
35535,Escape Artists
418236,ZHIV Productions
26101,Mace Neufeld Productions
183889,Lonetree Entertainment
103220,Incorporated Television Company
178111,QED International
307345,"Grisbi Productions, Le"
146364,Crave Films
28932,Fox Searchlight Pictures
22869,Pathé
64141,Everest Entertainment
265704,Cloud Eight Films
333799,Decibel Films
130,Darlow Smithson Productions
283574,Big Screen Productions
4617,Dentsu Motion Pictures
5955,Chessman Park Productions
202871,Bliss
142690,dfm Fiktion
60132,Nordisk Film
59852,Film i Skåne
152308,Canal+
258094,Cinémage 3
339466,DFM
48411,Det Danske Filminstitut
114907,Konstnärsnämnden
107532,Kostr-Film
777321,Nordisk Film & TV Fond
79546,Sveriges Television
298454,Touscoprod
8970,Walt Disney Pictures
74039,Walt Disney Animation Studios
103974,DNA Films
104387,British Film Council
556015,Rovio Animation
358927,Rovio Entertainment
103444,Casey Productions
53419,Eldorado Films
229251,D.L.N. Ventures Partnership
172670,Thunder Road Pictures
224994,87Eleven
453771,MJW Films
490386,DefyNite Films
212862,Cutting Edge Group
97671,Company Films
528655,Poquito Productions
197542,Unbelievable Entertainment
221927,Euforia Film
33686,Barentsfilm AS
248221,Miho Film
196178,News On Request
204420,Yellow Bastard Production
180408,Zwart Arbeid
210188,Studio 37
6560,La Petite Reine
169450,La Classe Américaine
338599,JD Prod
44140,France 3 Cinéma
305664,Jouror Productions
318083,uFilm
28908,CinéCinéma
125554,France Télévisions
169751,Tax Shelter du Gouvernement Fédéral Belge
103190,Horizon Pictures
153703,The Lab of Madness
160719,Film Science
395263,Neighborhood Watch
21358,Universal International Pictures
156964,Yellow Bird
38987,ZDF Enterprises
137854,Nordisk Film
78814,Zweites Deutsches Fernsehen (ZDF)
274834,Filmpool Stockholm Mälardalen
346545,Spiltan Underhållning
799294,A Film Location Company
20824,TV2 Norge
120121,River Road Entertainment
619814,A Monster Calls
287460,Apaches Entertainment
561265,Películas la Trini
104115,Ruby Films
37450,British Film Institute
68747,Pathe UK
566873,Redgill Productions
132161,Brandywine Productions
41067,Pinewood Studios
142386,SLM Production Group
410488,Black Label Media
610132,TIK Films
449425,Impostor Pictures
249085,Gilbert Films
113509,Vertigo Films
203328,Aramid Entertainment Fund
250100,Str8jacket Creations
91923,EM Media
231406,4DH Films
798920,Bronson Productions
211009,Perfume Films
228888,Protagonist Pictures
219021,Scanbox Entertainment Production
23951,Allied Artists Pictures
35064,Walter Wanger Productions
103330,Compton Films
137938,Tekli British Productions
488623,Bow and Arrow Entertainment
37203,PalmStar Media
215893,Spectacle Entertainment Group
596769,Spookshow International
384378,Windy Hill Pictures
553623,Victor & Edward Halperin Productions
67238,Balboa Entertainment
273107,Faliro House Productions
336582,The Combine
126913,Otto Preminger Films
54054,Blinding Edge Pictures
79995,Fuji Eight Company Ltd.
41421,RKO Radio Pictures
858,Brooksfilms
120075,Geffen Pictures
103747,Channel Four Film
103733,Revolution Films
91941,Screen Yorkshire
373121,Highland Park Classics
176814,The Ebersole Hughes Company
94459,Carolco Pictures
228420,Caliber Media Company
463954,Platinum Platypus
642616,Realmbuilders Productions
632419,The Jokers Films
642617,Twilight Riders
178319,thefyzz
334327,Rook Films
151099,Ulrich Seidl Film Produktion GmbH
10329,Filmfonds Wien
326911,Filmstandort Austria
44989,Österreichischer Rundfunk
12723,Österreichisches Filminstitut
3625,Harris-Kubrick Productions
243191,Regione Lazio
378201,Italian Tax Credit
751457,Partenariat du Quartier des spectacles
560664,Leone Film Group
394798,Wigwam Films
317989,Doha Film Institute
734629,Polaris Productions
113563,Hawk Films
59123,Max L. Raab Productions
67017,Si Litvinoff Film Production
155266,The State Hermitage Museum
43974,The Hermitage Bridge Studio
43735,Egoli Tossell Pictures
63806,Ministry of Culture of the Russian Federation
130222,Mitteldeutsche Medienförderung (MDM)
56044,"BKM, kulturelle Filmförderung des Bundes"
72082,Filmbüro NW
237938,WDR/Arte
33715,Fora Film
84172,Koppmedia
52417,NHK
74651,Seville Pictures
214258,YLE TV1
244153,AST Studio
101880,Mariinsky Theatre
86504,Filmboard Berlin-Brandenburg (FBB)
29217,Filmförderung Hamburg
22292,Kulturelle Filmförderung Sachsen
47730,Vinyl Films
24200,Golar Productions
14411,Impact Pictures
133276,Altavista Films
7410,Zeta Film
88143,Solofilm
979,B.O.M. Film Productions Co.
21371,Masulpiri Films
66014,iPictures
62935,Protozoa Pictures
29574,Phoenix Pictures
555595,QC Entertainment
369235,Monkeypaw Productions
18415,F/M
