id,movie_id,watch_date,rating,method
1,118715,2016-09-02,5,Art Theater - Champaign
2,1397280,2016-09-06,6,UGL
3,94898,2016-09-06,6,UGL
4,38969,2016-09-09,7,UGL
5,1365050,2016-09-11,5,NF
6,1341167,2016-09-17,5,UGL
7,3774114,2016-09-21,6,Goodrich
8,1999995,2016-09-24,5,NF
9,134273,2016-09-25,7,UGL
10,119094,2016-09-26,7,UGL
11,2309021,2016-10-01,5,NF
12,1780798,2016-10-07,4,UGL
13,2140479,2016-10-13,7,Goodrich
14,1096999,2016-10-14,5,NF
15,2104994,2016-10-14,5,NF
16,5818010,2016-10-15,6,NF
17,63522,2016-10-15,6,Art Theater
18,71222,2016-10-18,1,UGL
19,85636,2016-10-19,1,UGL
20,94963,2016-10-20,5,UGL
21,454082,2016-10-23,1,UGL
23,4361050,2016-10-27,1,Goodrich
24,89767,2016-10-27,5,UGL
25,96426,2016-10-27,5,DVD
26,77402,2016-10-28,5,Art theater
27,82495,2016-10-30,1,UGL
28,1582507,2016-10-31,5,DVD
29,71402,2016-11-01,8,UGL
30,1974419,2016-11-02,7,UGL
31,117038,2016-11-04,5,UGL
32,1588170,2016-11-05,5,UGL
33,109506,2016-11-06,6,UGL
34,329101,2016-11-07,1,UGL
35,2119532,2016-11-09,6,Goodrich
36,3850590,2016-11-10,2,UGL
37,70666,2016-11-11,6,UGL
38,144120,2016-11-13,2,UGL
39,95271,2016-11-15,2,UGL
40,382943,2016-11-16,2,UGL
41,1878870,2016-11-18,6,Goodrich
42,82418,2016-11-18,2,UGL
43,95925,2016-11-19,1,UGL
44,82010,2016-11-20,5,UGL
45,4975722,2016-11-21,0,Goodrich
46,2446042,2016-11-21,6,UGL
47,2543164,2016-11-30,5,Goodrich
48,2844798,2016-11-30,5,UGL
49,862467,2016-12-05,6,UGL
50,4094724,2016-12-06,1,UGL
51,1867093,2016-12-08,5,UGL
52,4172430,2016-12-16,5,Unknown
53,3733774,2016-12-16,5,RedBox
54,1124037,2016-12-17,5,RedBox
55,3065204,2016-12-17,1,RedBox
56,3682448,2016-12-18,6,RedBox
57,3647498,2016-12-18,5,RedBox
58,3882082,2016-12-19,1,RedBox
59,3799694,2016-12-19,7,RedBox
60,3917210,2016-12-19,7,DVD
66,91474,2016-12-23,5,NL
67,1602613,2016-12-23,6,NL
68,1740707,2016-12-24,5,NL
69,1401143,2016-12-24,5,NL
71,3322364,2016-12-26,7,NL
72,1895587,2016-12-27,6,NL
73,23245,2016-12-27,6,NL
74,455944,2016-12-27,5,NL
75,51285,2016-12-28,5,NL
76,2713180,2016-12-28,5,NL
77,1542344,2016-12-29,7,NL
78,2980516,2017-01-01,1,NL
79,80516,2017-01-03,5,NL
80,1278449,2017-01-03,7,NL
81,2948356,2017-01-04,6,NF
