id,movie_id,person_id
1,118715,1053
2,118715,1054
3,1397280,108
4,1397280,436543
5,1397280,108
6,94898,552
7,94898,790775
8,94898,87904
9,38969,721468
10,38969,335577
11,38969,710683
14,1341167,606439
15,1341167,1095060
16,1341167,1104036
17,3774114,1634307
18,3774114,231
19,3774114,4816469
21,134273,1825
22,119094,108273
23,119094,171718
24,2309021,198804
25,2309021,585344
26,2309021,1664036
27,1780798,1755986
28,1780798,1218281
29,2140479,4057793
30,2104994,187877
31,63522,505615
32,63522,591
33,71222,600860
34,85636,908890
35,85636,118
36,85636,460600
37,94963,277807
38,94963,277849
39,94963,788975
40,454082,604688
41,454082,600860
42,107254,401095
43,107254,546057
44,107254,520893
45,4361050,1093039
46,4361050,3670452
47,4361050,1340000
48,89767,125060
49,89767,795461
50,96426,382776
51,77402,1681
52,82495,118
53,82495,384185
54,1582507,521649
55,1582507,609236
56,71402,307257
57,71402,562606
58,71402,933449
59,1974419,716347
60,1974419,716347
61,1974419,6890017
62,117038,223320
63,117038,703720
64,117038,1188
65,1588170,4219902
66,1588170,453518
67,109506,639335
68,109506,775017
69,109506,794326
70,329101,127
71,329101,566699
72,329101,1226735
73,2119532,770938
74,2119532,460795
75,3850590,2591926
76,3850590,1002424
77,3850590,1296461
78,70666,530995
79,70666,759029
80,70666,923319
81,144120,238841
82,144120,238841
83,95271,513772
84,95271,711910
85,95271,749318
86,382943,385349
87,1878870,2609807
88,82418,413826
89,82418,566699
90,82418,192446
91,95925,433179
92,95925,136737
93,95925,935644
94,82010,484
95,4975722,1503575
96,4975722,4144120
97,2446042,108
98,2446042,436543
99,2446042,108
100,2543164,2104063
101,2543164,5384213
102,2844798,610960
103,2844798,678467
104,2844798,5032902
105,862467,716347
106,862467,1952176
107,862467,713852
108,4094724,218621
109,1867093,997459
110,1867093,915838
111,4172430,2353561
112,4172430,4021083
113,3733774,3515259
114,3733774,3588247
115,1124037,2657
116,1124037,366989
117,1124037,2657
118,3065204,370937
119,3065204,370928
120,3065204,1490123
121,3682448,4131020
122,3682448,1053
123,3682448,1054
124,3647498,185976
125,3647498,75696
126,3647498,185976
127,3882082,3771577
128,3799694,948
129,3799694,46524
130,3917210,2328967
131,3917210,399520
132,3917210,741507
133,3687398,823133
134,264616,360062
135,2084970,2441699
136,2084970,388132
137,62467,461425
138,62467,140588
139,62467,358568
140,780504,24925
141,780504,2201245
142,91474,365383
143,91474,520
144,1602613,716347
145,1740707,4217
146,1401143,1118351
147,1401143,1118351
148,1401143,1118352
149,95016,861636
150,95016,835732
151,95016,211823
152,3322364,1481618
153,3322364,6543415
154,1895587,1802857
155,1895587,565336
156,23245,701233
157,23245,770337
158,23245,49721
159,455944,921013
160,455944,805994
161,455944,2030456
162,51285,22943
163,51285,35199
164,51285,35199
165,2713180,43742
166,1542344,965
167,1542344,64479
168,1542344,1737008
169,2980516,565026
170,2980516,6186324
171,80516,403028
172,80516,337008
173,80516,534701
174,1278449,800800
175,1278449,632312
176,1278449,800800
177,2948356,397174
178,2948356,601781
179,2948356,1158544
180,289043,307497
181,1985949,900140
182,1985949,4678928
183,1985949,2039903
184,69995,238898
185,69995,778819
186,69995,117068
187,2911666,4401003
188,1278340,2482088
189,1278340,2552337
190,1655442,371890
191,50212,99541
192,50212,286025
193,50212,933858
194,2359024,1099918
195,39420,242897
196,39420,225283
197,46876,261400
198,46876,743232
199,46876,956592
200,1132620,1064048
201,1132620,1065452
202,1132620,2297183
203,3416532,4710432
204,3416532,4710432
205,3416532,8435299
206,3077214,604448
207,90605,116
208,90605,318429
209,90605,1353
210,3783958,3227090
211,1172570,635431
212,1172570,716347
213,49366,537784
214,49366,278277
215,49366,172628
216,59646,591
217,59646,102722
218,59646,831816
219,46359,697
220,46359,89637
221,46359,79654
222,3835080,957772
223,23694,922951
224,23694,922951
225,23694,2690196
226,21884,49721
227,21884,791217
228,21884,916811
229,117407,196930
230,117407,716347
231,4276820,1557909
232,52561,562606
233,52561,871261
234,4972582,796117
235,34587,90840
236,91064,486228
237,91064,688279
238,91064,343
239,110148,723351
240,110148,723351
241,26138,791217
242,26138,403398
243,26138,49721
244,1259574,3030961
245,1259574,342617
246,1260581,342617
247,1260581,3030961
248,1259573,3030961
249,1259573,342617
250,2085910,38896
251,99871,748022
252,2494362,951975
253,34398,802561
254,2375574,4207229
255,2375574,1296554
256,3086442,1072411
257,3086442,3868633
258,21814,831290
259,21814,213019
260,21814,49721
261,49406,40
262,49406,860292
263,49406,925137
264,4425200,4401003
265,4425200,4401003
266,4273292,2035118
267,66921,40
268,66921,121256
269,96071,205634
270,96071,561802
271,96071,800834
272,318034,1178696
273,318034,1162019
274,318034,698757
275,181875,1081
276,119081,252155
277,245712,37247
278,77745,725379
279,77745,278277
280,365376,453518
281,947798,2114730
282,947798,374560
283,947798,572352
284,5052448,1443502
285,93605,941
286,93605,714599
287,2326554,3235877
288,1144884,107774
289,1144884,714695
290,2582782,792263
291,76786,783
292,76786,630453
293,76786,211063
294,1742044,108613
295,1742044,1338811
296,1742044,108613
297,283877,801882
298,283877,974299
299,283877,254735
300,396184,716347
301,120586,571346
302,425379,716347
303,32910,172830
304,32910,780799
305,32910,257481
306,58997,607876
307,58997,607890
308,58997,595217
309,2209418,500
310,2209418,365
311,2209418,160
312,1049413,230032
313,1049413,677037
314,1049413,565336
315,1398426,6707680
316,1398426,75696
317,1398426,767655
318,1263670,178376
319,1263670,3084575
320,1185836,562470
321,4158096,4207229
322,4158096,1296554
323,120102,364143
324,120102,426539
325,2349144,1349818
326,2349144,281396
327,1661199,919363
328,1661199,674518
329,1320253,1709264
330,1320253,230
331,1320253,1709264
332,93565,788234
333,87884,141281
334,87884,1731
335,87884,232924
336,359950,175726
337,359950,175726
338,359950,862122
339,2005151,157787
340,2005151,680846
341,2005151,1429512
342,28950,816458
343,28950,719756
344,2937696,500
345,3874544,567112
346,3874544,2807682
347,2091256,831557
348,2091256,2438127
349,2091256,1659741
350,93779,1279
351,93779,1279
352,4695012,4099092
353,91042,455
354,1205489,1010405
355,1205489,3164738
356,1205489,1010405
358,1276104,426059
359,2932536,1266897
360,2932536,2033094
361,1355631,5984688
362,1355631,2452397
363,435705,325778
364,435705,378144
365,435705,76602
366,3450958,93560
367,3450958,716257
368,3450958,415425
369,368226,1382072
370,85995,455
371,85995,455
372,448011,669379
373,448011,1340000
374,448011,925482
375,2406566,426500
376,2406566,2985952
377,2406566,8697009
378,1082807,348181
379,4034228,518836
380,3731562,319659
381,3731562,1440919
382,3731562,2081046
383,3733778,2423304
384,3733778,443024
385,1355683,3286851
386,1355683,125336
387,1355683,3251662
388,3066630,534665
389,3066630,2829262
390,3066630,5235536
391,1051904,501359
392,1051904,18735
393,1051904,438989
394,1540011,1440023
395,3616916,5006328
396,3616916,995943
397,2474976,2379028
398,2474976,2094135
399,2474976,1079798
400,105793,196
401,105793,196
402,105793,877425
403,4550098,1053530
404,4550098,7216022
405,3182558,1941022
406,3488710,709
407,3488710,1358613
408,3488710,677597
409,1502404,267805
410,1502404,527261
411,1664894,1348
412,1664894,862189
413,4503598,2878500
414,4503598,2878500
415,4503598,2836676
416,1441395,4157371
417,1441395,322242
418,1441395,1480060
419,61512,668914
420,61512,682757
421,61512,668914
422,1112115,1012499
423,1112115,2782976
424,1112115,2788676
425,97351,455875
426,97351,4675
427,3312868,935664
428,1941442,780904
429,56687,268230
430,56687,375355
431,4846232,2563482
432,4846232,1343394
433,33533,469915
434,455407,466925
435,455407,1242522
436,455407,1681
437,93223,519
438,93223,441747
439,93223,519
440,5275828,1348
441,264472,852105
442,264472,852105
443,264472,866062
444,2944198,531595
445,5446858,316795
446,5710514,86301
447,1605717,740160
448,1605717,1661186
449,1605717,740160
450,107131,122484
451,107131,3031
452,107131,941314
453,104868,109359
454,1552224,1825199
455,2032572,1359191
456,2032572,215502
457,4781612,4507295
458,4781612,510907
459,4781612,2495732
460,120714,597516
461,120714,203545
462,475293,58302
463,4935372,2015237
464,4052882,1097510
465,1245492,736622
466,1245492,1698571
467,1245492,736622
468,72431,698
469,72431,316
470,72431,791217
471,4078160,686903
472,4078160,686903
473,53459,715118
474,53459,92267
475,53459,92268
476,50976,5
477,50976,5
478,445336,27815
479,1320291,871188
480,55018,416556
481,55018,607876
482,55018,33780
483,195714,604688
484,195714,939128
485,195714,714695
486,309593,344259
487,309593,107774
488,309593,344259
489,414982,604688
490,414982,939128
491,414982,714695
492,1622979,2104063
493,1622979,714695
494,206314,850774
495,206314,9190
496,1274586,1707
497,113118,1084
498,113118,690770
499,195945,1084
500,195945,690770
501,195945,1084
502,1242460,708903
503,1242460,4094284
504,1242460,2651543
505,1939659,169548
506,1939659,2630745
507,1939659,175
508,3480796,1061002
509,3480796,664920
510,50307,258290
511,50307,258288
512,50307,545455
513,293815,1084
514,293815,690770
515,293815,1084
516,278295,485898
517,278295,1084
518,804461,2259451
519,804461,307257
520,2230358,238841
521,2230358,238841
522,3748172,1093039
523,3748172,3670452
524,3748172,175
525,91106,424750
526,4146622,93051
527,4146622,281956
528,5723286,1423438
529,452623,255
530,452623,830760
531,452623,1212331
532,86465,365390
533,86465,918339
534,399295,629272
535,4225622,3929259
536,3348730,831457
537,3348730,1539257
538,5308322,1245146
539,190138,438449
540,2090465,822525
541,2090465,296827
542,2090465,2321684
543,123755,82008
544,123755,622112
545,123755,543919
546,117333,224187
547,5715874,487166
548,5715874,3328207
549,2597768,923738
550,110955,919087
551,110955,481418
552,110955,919087
553,1308729,131947
554,1308729,1989798
555,1308729,5631325
556,98536,795461
557,98536,88793
558,98536,795461
559,2937366,185848
560,4728386,2010936
561,1456635,59431
562,1456635,1698571
563,1456635,4106750
564,4769836,55937
565,4769836,2475608
566,3402236,338169
567,3402236,2005
568,5027774,1732981
569,116126,915465
570,116126,5541
571,116126,64556
572,4998772,3210041
573,4998772,3255161
574,5809020,2484916
575,5809020,307531
576,285492,393517
577,285492,393517
578,285492,53228
579,4961380,4851409
580,4961380,3598892
581,4961380,4129532
582,303361,1031246
583,91541,318429
584,1704573,390912
585,1704573,500
586,1704573,390912
587,1132285,642041
588,1132285,508025
589,120831,420982
590,210070,910550
591,210070,269502
592,210070,910550
593,3521126,2354099
594,3521126,2352210
595,3521126,802995
596,3255590,577647
597,3255590,6033035
598,3280262,238841
599,3280262,238841
600,1748197,348389
601,1748197,63998
602,4372390,1247462
603,3501112,1912600
604,3501112,1071097
605,3908142,82366
606,2380564,1034266
607,2380564,1033215
608,2380564,1036211
609,92513,799562
610,97165,776114
611,3155328,2159926
612,3155328,1846132
613,4163224,107341
614,96163,469104
615,96163,469104
616,96163,806293
617,4572514,916
618,4572514,3208946
619,4572514,2440587
620,3470600,1134029
621,111070,1080144
622,111070,748874
